run_id,snapshot_last_task,evidence_status,official_test_used,cell,task_ids,method_family,trainer_method,S,B,U,planned_rollouts,n_seeds,seeds,mean_extracted_auc,mean_extracted_final,mean_strict_auc,mean_strict_final,mean_natural_eos_final,mean_pass8_final,mean_late_peak_drop_pp,mean_accelerator_hours,seed31_extracted_auc,seed31_extracted_final,seed31_strict_auc,seed31_strict_final,seed31_pass8_final,seed47_extracted_auc,seed47_extracted_final,seed47_strict_auc,seed47_strict_final,seed47_pass8_final,seed73_extracted_auc,seed73_extracted_final,seed73_strict_auc,seed73_strict_final,seed73_pass8_final,se_extracted_auc,mean_extracted_auc_delta_pp,mean_final_extracted_delta_pp,mean_pass8_delta_pp,positive_auc_seeds,passes_all_gates
f31c2a6e,489,validated_complete_three_seed_cell,False,VIN-S32-B4-U2,61|62|63,VIN,AC-ALG1,32,4,2,4096,3,31|47|73,0.7523958333,0.7325,0.7279947917,0.7275,0.9883333333,0.9533333333,4.333333333,0.8870555556,0.7470703125,0.71,0.734609375,0.705,0.94,0.742734375,0.7375,0.7130078125,0.7325,0.96,0.7673828125,0.75,0.7363671875,0.745,0.96,0.007597307569,1.572916667,-0.4166666667,1,2,False
f31c2a6e,489,validated_complete_three_seed_cell,False,VIN-S32-B4-U4,64|65|66,VIN,AC-ALG1,32,4,4,4096,3,31|47|73,0.7086067708,0.6325,0.6888802083,0.6241666667,0.9933333333,0.8,13.16666667,0.9437222222,0.7048828125,0.6175,0.6896484375,0.61,0.79,0.6584765625,0.575,0.6360546875,0.57,0.74,0.7624609375,0.705,0.7409375,0.6925,0.87,0.0300753967,-2.805989583,-10.41666667,-14.33333333,1,False
f31c2a6e,489,validated_complete_three_seed_cell,False,VIN-S32-B8-U1,67|68|69,VIN,AC-ALG1,32,8,1,8192,3,31|47|73,0.7571614583,0.7741666667,0.7111197917,0.7616666667,0.9841666667,0.95,0.1666666667,1.228814815,0.76171875,0.76,0.739609375,0.755,0.95,0.73171875,0.75,0.683515625,0.7325,0.95,0.778046875,0.8125,0.710234375,0.7975,0.95,0.01356650866,2.049479167,3.75,0.6666666667,2,True
f31c2a6e,489,validated_complete_three_seed_cell,False,VIN-S32-B8-U2,70|71|72,VIN,AC-ALG1,32,8,2,8192,3,31|47|73,0.749609375,0.7141666667,0.7246354167,0.7075,0.9908333333,0.9266666667,6,1.316018519,0.731875,0.63,0.712890625,0.6225,0.88,0.7531640625,0.7725,0.7253125,0.765,0.96,0.7637890625,0.74,0.735703125,0.735,0.94,0.009382673726,1.294270833,-2.25,-1.666666667,2,False
f31c2a6e,489,validated_complete_three_seed_cell,False,VIN-S32-B8-U4,73|74|75,VIN,AC-ALG1,32,8,4,8192,3,31|47|73,0.6988020833,0.6441666667,0.6790104167,0.6308333333,0.9875,0.82,10.75,1.511203704,0.6847265625,0.62,0.6636328125,0.6025,0.86,0.6626953125,0.6075,0.6412890625,0.5925,0.83,0.748984375,0.705,0.732109375,0.6975,0.77,0.02588462086,-3.786458333,-9.25,-12.33333333,1,False
f31c2a6e,489,validated_complete_three_seed_cell,False,VIN-S32-B16-U1,76|77|78,VIN,AC-ALG1,32,16,1,16384,3,31|47|73,0.7505598958,0.7508333333,0.7133333333,0.7416666667,0.9841666667,0.96,1,2.230731481,0.7629296875,0.7375,0.74421875,0.725,0.93,0.726171875,0.74,0.678515625,0.73,0.98,0.762578125,0.775,0.717265625,0.77,0.97,0.01219443273,1.389322917,1.416666667,1.666666667,3,True
f31c2a6e,489,validated_complete_three_seed_cell,False,VIN-S32-B16-U2,79|80|81,VIN,AC-ALG1,32,16,2,16384,3,31|47|73,0.7413020833,0.6741666667,0.7180598958,0.6666666667,0.9908333333,0.8566666667,10.16666667,2.425944444,0.727578125,0.6225,0.70953125,0.6125,0.79,0.7289453125,0.665,0.6995703125,0.6575,0.86,0.7673828125,0.735,0.745078125,0.73,0.92,0.0130463357,0.4635416667,-6.25,-8.666666667,2,False
f31c2a6e,489,validated_complete_three_seed_cell,False,VIN-S32-B16-U4,82|83|84,VIN,AC-ALG1,32,16,4,16384,3,31|47|73,0.702890625,0.6633333333,0.6874088542,0.66,0.9966666667,0.8466666667,8.916666667,2.706518519,0.67703125,0.6525,0.664296875,0.6525,0.91,0.68640625,0.6325,0.667265625,0.63,0.83,0.745234375,0.705,0.7306640625,0.6975,0.8,0.02134414462,-3.377604167,-7.333333333,-9.666666667,1,False
f31c2a6e,489,validated_complete_three_seed_cell,False,VOUT-S8-B4-U1,85|86|87,VOUT,AC-ALG1,8,4,1,1024,3,31|47|73,0.7503515625,0.7558333333,0.7033854167,0.7383333333,0.9766666667,0.9433333333,0.75,0.4666018519,0.773359375,0.765,0.7464453125,0.75,0.96,0.7207421875,0.715,0.671640625,0.6875,0.93,0.756953125,0.7875,0.6920703125,0.7775,0.94,0.01554378306,1.368489583,1.916666667,0,3,True
f31c2a6e,489,validated_complete_three_seed_cell,False,VOUT-S8-B4-U2,88|89|90,VOUT,AC-ALG1,8,4,2,1024,3,31|47|73,0.7506510417,0.7541666667,0.7098958333,0.7433333333,0.9775,0.9566666667,1,0.6014722222,0.7534765625,0.7375,0.7335546875,0.73,0.96,0.72421875,0.73,0.6758203125,0.72,0.96,0.7742578125,0.795,0.7203125,0.78,0.95,0.01451395443,1.3984375,1.75,1.333333333,2,True
