dataset,role,algorithm,cell_id,seed,questions,final_extracted_answer_accuracy,final_strict_terminal_accuracy,natural_eos_rate,token_limit_rate,gap_count,gap_fraction,gap_natural_eos_count,gap_token_limit_count,strict_correct_count,gap_strict_correct_count,strict_valid_wrong_count,gap_strict_valid_wrong_count,missing_marker_count,gap_missing_marker_count,multiple_markers_count,gap_multiple_markers_count,one_invalid_or_nonterminal_marker_count,gap_one_invalid_or_nonterminal_marker_count
svamp,frozen_base,base,CTRL-base,1223,1000,0.755,0.637,0.995,0.005,118,0.118,117,1,637,0,180,0,166,115,0,0,17,3
svamp,frozen_base,base,CTRL-base,1229,1000,0.717,0.266,0.994,0.006,451,0.451,451,0,266,0,103,0,621,451,0,0,10,0
svamp,frozen_base,base,CTRL-base,1231,1000,0.778,0.411,0.993,0.007,367,0.367,364,3,411,0,100,0,480,366,0,0,9,1
svamp,frozen_base,base,CTRL-base,1237,1000,0.763,0.69,0.989,0.011,73,0.073,72,1,690,0,185,0,108,71,1,1,16,1
svamp,non_rl_self_training,TRICE,TRICE-LR1e-4-CV,1201,1000,0.789,0.789,0.996,0.004,0,0.0,0,0,789,0,193,0,3,0,0,0,15,0
svamp,non_rl_self_training,TRICE,TRICE-LR1e-4-CV,1213,1000,0.81,0.809,0.999,0.001,1,0.001,0,1,809,0,178,0,1,1,0,0,12,0
svamp,non_rl_self_training,TRICE,TRICE-LR1e-4-CV,1217,1000,0.766,0.766,0.997,0.003,0,0.0,0,0,766,0,216,0,2,0,0,0,16,0
svamp,non_rl_self_training,TRICE,TRICE-LR1e-4-CV,1223,1000,0.787,0.787,0.995,0.005,0,0.0,0,0,787,0,192,0,5,0,0,0,16,0
svamp,non_rl_self_training,TRICE,TRICE-LR1e-4-CV,1229,1000,0.802,0.802,0.996,0.004,0,0.0,0,0,802,0,180,0,4,0,0,0,14,0
svamp,non_rl_self_training,TRICE,TRICE-LR1e-4-CV,1231,1000,0.793,0.791,0.999,0.001,2,0.002,2,0,791,0,196,0,1,0,0,0,12,2
svamp,non_rl_self_training,TRICE,TRICE-LR1e-4-CV,1237,1000,0.743,0.743,0.998,0.002,0,0.0,0,0,743,0,243,0,2,0,0,0,12,0
svamp,posterior,AC-ALG1,Q5-LR1e-5-U1-K16,1201,1000,0.828,0.719,0.989,0.011,109,0.109,108,1,719,0,128,0,144,108,0,0,9,1
svamp,posterior,AC-ALG1,Q5-LR1e-5-U1-K16,1213,1000,0.82,0.341,0.994,0.006,479,0.479,478,1,341,0,55,0,597,477,0,0,7,2
svamp,posterior,AC-ALG1,Q5-LR1e-5-U1-K16,1217,1000,0.83,0.742,0.996,0.004,88,0.088,87,1,742,0,132,0,106,85,0,0,20,3
svamp,posterior,AC-ALG1,Q5-LR1e-5-U1-K16,1223,1000,0.822,0.489,0.986,0.014,333,0.333,331,2,489,0,74,0,429,332,0,0,8,1
svamp,posterior,AC-ALG1,Q5-LR1e-5-U1-K16,1229,1000,0.829,0.645,0.994,0.006,184,0.184,182,2,645,0,108,0,237,184,0,0,10,0
svamp,posterior,AC-ALG1,Q5-LR1e-5-U1-K16,1231,1000,0.839,0.732,0.992,0.008,107,0.107,103,4,732,0,120,0,138,105,0,0,10,2
svamp,posterior,AC-ALG1,Q5-LR1e-5-U1-K16,1237,1000,0.845,0.631,0.992,0.008,214,0.214,212,2,631,0,84,0,275,214,0,0,10,0
svamp,rl,RLOO,RLOO-S16-B8-U4,1201,1000,0.794,0.791,0.996,0.004,3,0.003,3,0,791,0,184,0,5,2,0,0,20,1
svamp,rl,RLOO,RLOO-S16-B8-U4,1213,1000,0.756,0.755,0.999,0.001,1,0.001,1,0,755,0,227,0,2,1,0,0,16,0
svamp,rl,RLOO,RLOO-S16-B8-U4,1217,1000,0.844,0.843,0.997,0.003,1,0.001,1,0,843,0,135,0,3,0,0,0,19,1
svamp,rl,RLOO,RLOO-S16-B8-U4,1223,1000,0.816,0.811,0.996,0.004,5,0.005,4,1,811,0,166,0,5,2,0,0,18,3
svamp,rl,RLOO,RLOO-S16-B8-U4,1229,1000,0.812,0.81,0.997,0.003,2,0.002,2,0,810,0,168,0,5,1,0,0,17,1
svamp,rl,RLOO,RLOO-S16-B8-U4,1231,1000,0.767,0.766,1.0,0.0,1,0.001,1,0,766,0,220,0,1,0,0,0,13,1
svamp,rl,RLOO,RLOO-S16-B8-U4,1237,1000,0.793,0.789,0.999,0.001,4,0.004,4,0,789,0,187,0,10,4,0,0,14,0
